CC,COMARCA,POBLACION,EXTRANJEROS,EXTRANJERAS,PROVINCIA
1,La Jacetania,18421,681,699,Zaragoza
2,Alto Gállego,14447,1182,962,Huesca
3,Sobrarbe,7721,576,520,Huesca
4,La Ribagorza,12942,998,900,Huesca
5,Cinco Villas,32074,2096,1599,Zaragoza
6,Hoya de Huesca / Plana de Uesca,68280,34,3132,Huesca
7,Somontano de Barbastro,24111,1216,1147,Huesca
8,Cinca Medio,24216,2008,1532,Huesca
9,La Litera / La Llitera,18814,1455,874,Huesca
10,Los Monegros,20172,1086,883,Huesca
11,Bajo Cinca / Baix Cinca,24800,2718,2073,Huesca
12,Tarazona y el Moncayo,14471,642,526,Zaragoza
13,Campo de Borja,14971,1179,851,Zaragoza
14,Aranda,7268,314,277,Zaragoza
15,Ribera Alta del Ebro,27765,16,1413,Zaragoza
16,Valdejalón,29529,3426,2867,Zaragoza
17,D.C. Zaragoza,758380,50922,46844,Zaragoza
18,Ribera Baja del Ebro,9223,409,313,Zaragoza
19,Bajo Aragón-Caspe / Baix Aragó-Casp,15008,1882,117,Zaragoza
20,Comunidad de Calatayud,40333,3667,3044,Zaragoza
21,Campo de Cariñena,10802,1329,921,Zaragoza
22,Campo de Belchite,5093,190,157,Zaragoza
23,Bajo Martín,6768,314,254,Teruel
24,Campo de Daroca,6126,383,297,Zaragoza
25,Jiloca,13435,975,802,Teruel
26,Cuencas Mineras,8835,581,399,Teruel
27,Andorra-Sierra de Arcos,11113,783,595,Teruel
28,Bajo Aragón,29875,2267,1996,Teruel
29,Comunidad de Teruel,47185,2681,2511,Teruel
30,Maestrazgo,3464,217,172,Teruel
31,Sierra de Albarracín,4783,212,163,Teruel
32,Gúdar-Javalambre,8095,694,547,Teruel
33,Matarraña / Matarranya,8630,671,459,Teruel
